price_usd,Name,ISD link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence
189.45,2021 Brulieres de Beychevelle,https://www.i-d-s.com/dubai/2021-brulieres-de-beychevelle-fw1277.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2021&amp;price_id=36543772,4.2,Meursault-Blagny Premier Cru Château de Blagny 2021,-,France,Meursault 1er Cru 'Blagny',192,32
"1,011.80","2018 Chateau Corbin, St Emilion",https://www.i-d-s.com/dubai/2018-chateau-corbin-st-emilion-fw1276.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2021&amp;price_id=36543772,4.2,Meursault-Blagny Premier Cru Château de Blagny 2021,-,France,Meursault 1er Cru 'Blagny',192,29
16,Clos La Coutale Cahors Organic,https://www.i-d-s.com/dubai/clos-la-coutale-cahors-organic-fr1414.html,france,/FR/en/louis-latour-meursault-blagny-premier-cru-chateau-de-blagny/w/7316?year=2021&amp;price_id=36543772,4.2,Meursault-Blagny Premier Cru Château de Blagny 2021,-,France,Meursault 1er Cru 'Blagny',192,32
5.99,Les Mougeottes Malbec,https://www.i-d-s.com/dubai/les-mougeottes-malbec-fr2609.html,france,/FR/en/les-mougeottes-malbec/w/7186828,4,Malbec,-,France,Pays d'Oc,59,44
22.95,Domaine Laroche Saint Martin Chablis,https://www.i-d-s.com/dubai/domaine-laroche-saint-martin-chablis-fr1389.html,france,/FR/en/domaine-laroche-chablis-saint-martin/w/1175557,3.9,Chablis ‘Saint Martin’,-,France,Chablis,16234,52
31.85,Domaine Laroche Chablis Premier Cru L'Essence des Climats,https://www.i-d-s.com/dubai/domaine-laroche-chablis-premier-cru-l-essence-des-climats-fr1390.html,france,/FR/en/domaine-laroche-l-essence-des-climats-chablis-premier-cru/w/9844103,4.1,L'Essence des Climats Chablis Premier Cru,-,France,Chablis Premier Cru,258,51
50.55,Domaine Laroche Chablis Premier Cru ‘Les Fourchaumes Vieilles Vignes’,https://www.i-d-s.com/dubai/domaine-laroche-chablis-premier-cru-les-fourchaumes-vieilles-vignes-fr1391.html,france,/FR/en/domaine-laroche-chablis-premier-cru-les-fourchaumes-vieilles-vignes/w/1175488,4.2,Chablis Premier Cru ‘Les Fourchaumes Vieilles Vignes’,-,France,Chablis Premier Cru,3377,87
92.3,Domaine Laroche Chablis Grand Cru Les Blanchots,https://www.i-d-s.com/dubai/domaine-laroche-chablis-grand-cru-les-blanchots-fr1392.html,france,/FR/en/domaine-laroche-chablis-premier-cru-les-fourchaumes-vieilles-vignes/w/1175488,4.2,Chablis Premier Cru ‘Les Fourchaumes Vieilles Vignes’,-,France,Chablis Premier Cru,3377,42
11.75,"Domaine Laroche Réserve Chardonnay, Pays DOC",https://www.i-d-s.com/dubai/domaine-laroche-r-serve-chardonnay-pays-doc-fr1393.html,france,/FR/en/domaine-laroche-chablis-premier-cru-les-fourchaumes-vieilles-vignes/w/1175488,4.2,Chablis Premier Cru ‘Les Fourchaumes Vieilles Vignes’,-,France,Chablis Premier Cru,3377,31
12.55,"Domaine Laroche Réserve Pinot Noir, Pays DOC",https://www.i-d-s.com/dubai/domaine-laroche-r-serve-pinot-noir-pays-doc-fr1394.html,france,/FR/en/domaine-de-corneille-grande-reserve-pinot-noir/w/5719774,3.6,Grande Reserve Pinot Noir,-,France,Pays d'Oc,276,64
