,Unnamed: 0,0,1,2,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,ratio
54,6,33.65,"Domaine du Pré Semelé Sancerre Rouge, Pinot Noir Non Filtré",https://www.i-d-s.com/dubai/domaine-du-pr-semel-sancerre-rouge-pinot-noir-non-filtr-fr1323.html,france,https://www.vivino.com/FR/en/wines/3131479,4.0,Domaine du Pré Semelé (Julien \u0026 Clément Raimbault) Sancerre Rouge 0,30.90,france,sancerre,1529,3
55,7,31.95,"Clos de la Cure, Saint-Émilion Grand Cru",https://www.i-d-s.com/dubai/clos-de-la-cure-saint-milion-grand-cru-fr1318.html,france,https://www.vivino.com/FR/en/wines/1751787,4.0,Clos de la Cure Saint-Émilion Grand Cru 0,29.50,france,st-emilion-grand-cru,2521,0
56,8,20.85,"Château Calvimont Blanc, Graves",https://www.i-d-s.com/dubai/ch-teau-calvimont-blanc-graves-fr1317.html,france,https://www.vivino.com/FR/en/wines/150602910,4.0,Château Calvimont Graves Blanc 0,—,france,graves,1046,5
57,9,12.20,Famille Perrin Luberon Rosé,https://www.i-d-s.com/dubai/famille-perrin-luberon-ros-fr1331.html,france,https://www.vivino.com/FR/en/wines/4986675,3.6,Famille Perrin Eléphant Rosé 0,—,france,luberon,1510,6
58,10,8.70,"Les Vignes de L'Eglise Merlot/Grenache IGP, Côtes de Thau, Languedoc",https://www.i-d-s.com/dubai/les-vignes-de-l-eglise-merlot-grenache-igp-c-tes-de-thau-languedoc-fr1329.html,france,https://www.vivino.com/FR/en/wines/155468060,3.6,Les Costières de Pomerols Beauvignac Côtes de Thau Vieilles Vignes Merlot 0,—,france,cotes-de-thau,281,3
59,11,10.05,"Baron de Badassière Syrah IGP Côtes de Thau, Languedoc",https://www.i-d-s.com/dubai/baron-de-badassi-re-syrah-igp-c-tes-de-thau-languedoc-fr1328.html,france,https://www.vivino.com/FR/en/wines/4528234,3.8,Les Costières de Pomerols Baron de Badassière Carignan 0,—,france,cotes-de-thau,240,3
60,0,10.75,"Les Caves de Richemer Chardonnay IGP, Languedoc",https://www.i-d-s.com/dubai/les-caves-de-richemer-chardonnay-igp-languedoc-fr1327.html,france,https://www.vivino.com/FR/en/wines/24929163,0.0,Les Caves de Saint Georges - Le Chevalier Georges Chardonnay 0,—,france,languedoc-roussillon,4743,3
61,1,"4,123.00","2015 Château Pichon Comtesse Lalande, Grand Cru Classe, Pauillac",https://www.i-d-s.com/dubai/2015-ch-teau-pichon-comtesse-lalande-grand-cru-classe-pauillac-fw1795.html,france,https://www.vivino.com/FR/en/wines/1491165,4.4,Château Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classé) 0,229.12,france,pauillac,44835,2
62,2,793.80,"2016 Château Talbot 4ème Cru Classé, Saint-Julien",https://www.i-d-s.com/dubai/2016-ch-teau-talbot-4-me-cru-class-saint-julien-fw1175.html,france,https://www.vivino.com/FR/en/wines/1540417,4.2,Château Talbot Saint-Julien (Grand Cru Classé) 0,—,france,saint-julien,50649,4
63,3,183.95,"Maison Antoine Geoffroy, Beaune, Puligny Montrachet 1Er Cru Les Combettes",https://www.i-d-s.com/dubai/maison-antoine-geoffroy-beaune-puligny-montrachet-1er-cru-les-combettes-fr1307.html,france,https://www.vivino.com/FR/en/wines/174845339,0.0,Antoine Geoffroy Puligny-Montrachet 1er Cru 'Les Combettes' 0,—,france,puligny-montrachet-les-combettes,91,3
