,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price_bucket,confidence bucket
6,86.8,Dawson James Pinot Noir,https://www.i-d-s.com/dubai/dawson-james-pinot-noir-au4070.html,australia,https://www.vivino.com/FR/en/wines/5020075,4.2,Dawson James Pinot Noir 0,—,australia,tasmania,356,96,80 - 90 USD,100
7,12.4,"Kim Crawfords, `Spitfire` Small Parcels Marlborough Sauvignon Blanc",https://www.i-d-s.com/dubai/kim-crawfords-spitfire-small-parcels-marlborough-sauvignon-blanc-nz4017.html,new_zealand,https://www.vivino.com/FR/en/wines/3431808,4.2,Kim Crawford Spitfire Sauvignon Blanc (Small Parcels) 0,—,new-zealand,marlborough,2069,61,10 - 20 USD,70
8,15.65,Greywacke Wild Sauvignon,https://www.i-d-s.com/dubai/greywacke-wild-sauvignon-nz4010.html,new_zealand,https://www.vivino.com/FR/en/wines/2957366,4.2,Greywacke Wild Sauvignon 0,"28,95",new-zealand,marlborough,8685,96,10 - 20 USD,100
9,22.15,"Château Poujeaux, Moulis Cru Bourgeois Exceptionnel",https://www.i-d-s.com/dubai/ch-teau-poujeaux-moulis-cru-bourgeois-exceptionnel-fr4087.html,france,https://www.vivino.com/FR/en/wines/2522751,0,Château Moulis en Médoc Grande Reserve Cru Bourgeois Vin de Bordeaux 0,—,france,moulis-en-medoc,22156,55,20 - 30 USD,60
10,7.8,"Château Haut-Mayne ""Réserve De La Famille"", Graves Blanc",https://www.i-d-s.com/dubai/ch-teau-haut-mayne-r-serve-de-la-famille-graves-blanc-fr4089.html,france,https://www.vivino.com/FR/en/wines/154645315,0,Château du Cros Château Haut-Mayne Réserve de Famille Graves Blanc 0,—,france,graves,57,81,0 - 10 USD,90
11,65.65,"Burn Cottage Vineyard, Pinot Noir Central Otago",https://www.i-d-s.com/dubai/burn-cottage-vineyard-pinot-noir-central-otago-nz4025.html,new_zealand,https://www.vivino.com/FR/en/wines/4422435,4.2,Burn Cottage Burn Cottage Vineyard Pinot Noir 0,"67,00",new-zealand,otago,3619,70,60 - 70 USD,70
0,38.55,Boekenhouskloof The Chocolate Block,https://www.i-d-s.com/dubai/boekenhouskloof-the-chocolate-block-za1020.html,south_africa,https://www.vivino.com/FR/en/wines/1470258,4.2,Boekenhoutskloof The Chocolate Block 0,"23,95",south-africa,franschhoek,72030,96,30 - 40 USD,100
1,31.54,Nyetimber Classic Cuvee Multi-Vintage,https://www.i-d-s.com/dubai/nyetimber-classic-cuvee-multi-vintage-sw1038.html,uk,https://www.vivino.com/FR/en/wines/2093215,4.2,Nyetimber Classic Cuvee Brut 0,"53,33",united-kingdom,sussex,15749,78,30 - 40 USD,80
2,44.99,Nyetimber Blanc de Blancs,https://www.i-d-s.com/dubai/nyetimber-blanc-de-blancs-sw4058.html,uk,https://www.vivino.com/FR/en/wines/1548463,4.2,Nyetimber Blanc de Blancs Brut 0,"105,70",united-kingdom,sussex,2473,88,40 - 50 USD,90
3,61.55,Hartford Court Russian River Valley  Pinot Noir,https://www.i-d-s.com/dubai/hartford-court-russian-river-valley-pinot-noir-us1131.html,usa,https://www.vivino.com/FR/en/wines/2698648,4.2,Hartford Court Russian River Valley Pinot Noir 0,—,united-states,russian-river-valley,6866,97,60 - 70 USD,100
