,price_usd,Name,IDS link,country,vivino_url,vivino_rating,vivino_name,vivino_price,vivino_country,vivino_region,nb_ratings,confidence,price bucket,confidence bucket
1,11,Follador Prosecco DOC Treviso,https://www.i-d-s.com/dubai/follador-prosecco-doc-treviso-sw1007.html,italy,https://www.vivino.com/FR/en/wines/1469451,3.6,Follador Prosecco Treviso Brut 0,—,italy,prosecco-di-treviso,1262,82,less than 20 USD,90
2,14.75,Castello Vicchiomaggio San Jacopo Vin Santo,https://www.i-d-s.com/dubai/castello-vicchiomaggio-san-jacopo-vin-santo-dw1011.html,italy,https://www.vivino.com/FR/en/wines/145309932,3.5,Vicchiomaggio San Jacopo Il Santo 0,—,italy,vin-santo,114,82,less than 20 USD,90
3,23.85,"Perle d'Aurore, Crémant de Bourgogne Brut Rosé",https://www.i-d-s.com/dubai/perle-d-aurore-cr-mant-de-bourgogne-brut-ros-sw2005.html,france,https://www.vivino.com/FR/en/wines/164942842,3.9,Louis Bouillot Perle d'Aurore Crémant de Bourgogne Brut Rosé 0,—,france,cremant-de-bourgogne,9483,83,less than 30 USD,90
4,29.95,"Domaine Michel Girault Les Beaux Regards, Sancerre Rouge",https://www.i-d-s.com/dubai/domaine-michel-girault-les-beaux-regards-sancerre-rouge-fr4433.html,france,https://www.vivino.com/FR/en/wines/155266696,3.7,Michel Girault Domaine les Beaux Regards Sancerre Rouge 0,—,france,sancerre,46,83,less than 30 USD,90
5,29.5,"Domaine Michel Girault Les Beaux Regards, Sancerre Blanc",https://www.i-d-s.com/dubai/domaine-michel-girault-les-beaux-regards-sancerre-fr1153.html,france,https://www.vivino.com/FR/en/wines/4813821,3.9,Michel Girault Domaine les Beaux Regards Sancerre Blanc 0,—,france,sancerre,1445,83,less than 30 USD,90
6,160.25,Tardieu Laurent Hermitage,https://www.i-d-s.com/dubai/tardieu-laurent-hermitage-fr1251.html,france,https://www.vivino.com/FR/en/wines/2344260,4.3,Tardieu-Laurent Hermitage Rouge 0,69.38,france,hermitage,1835,83,less than 170 USD,90
7,8.15,Baron Philippe de Rothschild Cabernet Sauvignon,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-cabernet-sauvignon-fr1024.html,france,https://www.vivino.com/FR/en/wines/1474577,3.3,Baron Philippe de Rothschild Mapu Cabernet Sauvignon - Carmenérè 0,9.95,chile,maipo-valley,8082,83,less than 10 USD,90
8,7.8,Baron Philippe de Rothschild Syrah,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-syrah-fr1025.html,france,https://www.vivino.com/FR/en/wines/4744080,3.5,Baron Philippe de Rothschild Les Cépages Syrah 0,—,france,vin-de-pays-doc,1459,83,less than 10 USD,90
9,12.85,Baron Philippe de Rothschild Mouton Cadet Rouge,https://www.i-d-s.com/dubai/baron-philippe-de-rothschild-mouton-cadet-rouge-fr1040.html,france,https://www.vivino.com/FR/en/wines/1516700,3.4,Baron Philippe de Rothschild Bordeaux Rouge 0,—,france,bordeaux,12602,83,less than 20 USD,90
10,29.55,Petaluma White Label Sauvignon Blanc Adelaide Hills,https://www.i-d-s.com/dubai/petaluma-white-label-sauvignon-blanc-adelaide-hills-au1093.html,australia,https://www.vivino.com/FR/en/wines/20031363,3.6,Petaluma White Label Sauvignon Blanc 0,—,australia,adelaide-hills,477,83,less than 30 USD,90
11,7.95,Jacob's Creek Chardonnay,https://www.i-d-s.com/dubai/jacob-s-creek-chardonnay-au1010.html,australia,https://www.vivino.com/FR/en/wines/4601955,3.4,Jacob's Creek Classic Chardonnay 0,-,-,-,-,83,less than 10 USD,90
0,14,Yering Station Village Rosé,https://www.i-d-s.com/dubai/yering-station-village-rose-au1027.html,australia,https://www.vivino.com/FR/en/wines/141961271,3.5,Yering Station Village Nebbiolo Rosé 0,—,australia,yarra-valley,89,83,less than 20 USD,90
1,8.3,"Casillero del Diablo, Chardonnay",https://www.i-d-s.com/dubai/casillero-del-diablo-chardonnay-ch1010.html,chile,https://www.vivino.com/FR/en/wines/1855871,3.5,Casillero del Diablo Chardonnay (Reserva) 0,—,chile,casablanca-valley,32236,83,less than 10 USD,90
2,20.1,"Sileni Estates ‘The Lodge’ Grand Reserve Chardonnay, Hawke’s Bay",https://www.i-d-s.com/dubai/sileni-estates-the-lodge-grand-reserve-chardonnay-hawke-s-bay-nz1002.html,new_zealand,https://www.vivino.com/FR/en/wines/166042822,3.8,Sileni Estates Lodge Grand Reserve Chardonnay 0,19.55,new-zealand,hawkes-bay,446,83,less than 30 USD,90
3,20.7,"Freemark Abbey Sauvignon Blanc, Napa Valley",https://www.i-d-s.com/dubai/freemark-abbey-sauvignon-blanc-napa-valley-us2023.html,usa,https://www.vivino.com/FR/en/wines/3722600,3.9,Freemark Abbey Sauvignon Blanc 0,—,united-states,napa-valley,716,83,less than 30 USD,90
4,7.05,The Bulletin Zinfandel Rosé,https://www.i-d-s.com/dubai/the-bulletin-zinfandel-rose-us1013.html,usa,https://www.vivino.com/FR/en/wines/158834977,3.6,Delicato The Bulletin Zinfandel Rosé 0,—,united-states,california,137,83,less than 10 USD,90
